"Household final consumption expenditure, quarterly, Canada (x 1,000,000) 1"
"Frequency: Quarterly"
"Table: 36-10-0107-01 (formerly CANSIM 380-0067)"
"Release date: 2023-05-31"
"Geography: Canada"
""
""

"Prices","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 1961","Q2 1961","Q3 1961","Q4 1961","Q1 1962","Q2 1962","Q3 1962","Q4 1962","Q1 1963","Q2 1963","Q3 1963","Q4 1963","Q1 1964","Q2 1964","Q3 1964","Q4 1964","Q1 1965","Q2 1965","Q3 1965","Q4 1965","Q1 1966","Q2 1966","Q3 1966","Q4 1966","Q1 1967","Q2 1967","Q3 1967","Q4 1967","Q1 1968","Q2 1968","Q3 1968","Q4 1968","Q1 1969","Q2 1969","Q3 1969","Q4 1969","Q1 1970","Q2 1970","Q3 1970","Q4 1970","Q1 1971","Q2 1971","Q3 1971","Q4 1971","Q1 1972","Q2 1972","Q3 1972","Q4 1972","Q1 1973","Q2 1973","Q3 1973","Q4 1973","Q1 1974","Q2 1974","Q3 1974","Q4 1974","Q1 1975","Q2 1975","Q3 1975","Q4 1975","Q1 1976","Q2 1976","Q3 1976","Q4 1976","Q1 1977","Q2 1977","Q3 1977","Q4 1977","Q1 1978","Q2 1978","Q3 1978","Q4 1978","Q1 1979","Q2 1979","Q3 1979","Q4 1979","Q1 1980","Q2 1980","Q3 1980","Q4 1980","Q1 1981","Q2 1981","Q3 1981","Q4 1981","Q1 1982","Q2 1982","Q3 1982","Q4 1982","Q1 1983","Q2 1983","Q3 1983","Q4 1983","Q1 1984","Q2 1984","Q3 1984","Q4 1984","Q1 1985","Q2 1985","Q3 1985","Q4 1985","Q1 1986","Q2 1986","Q3 1986","Q4 1986","Q1 1987","Q2 1987","Q3 1987","Q4 1987","Q1 1988","Q2 1988","Q3 1988","Q4 1988","Q1 1989","Q2 1989","Q3 1989","Q4 1989","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food and non-alcoholic beverages  [C11]","37,146","38,476","38,871","38,446","39,497","39,567","39,598","39,992","40,154","40,526","40,680","40,943","41,716","41,886","42,188","42,737","42,528","42,714","43,340","44,322","42,822","43,905","44,639","45,064","45,590","46,039","46,248","45,567","45,884","46,023","46,309","46,062","46,990","47,083","46,827","47,701","47,431","47,230","48,730","51,042","48,846","49,353","50,157","50,756","50,200","51,554","50,581","50,980","51,965","52,406","51,639","52,539","54,208","52,878","54,032","52,479","53,579","54,063","53,960","54,583","53,918","54,649","55,816","55,985","53,996","55,520","56,390","56,499","56,946","56,432","55,296","55,882","56,710","56,650","56,626","56,499","57,593","57,490","56,995","56,390","56,511","57,049","57,444","59,451","58,580","57,946","57,981","58,155","58,647","58,409","58,866","58,837","58,903","59,712","59,976","59,862","60,615","60,292","61,262","61,227","60,478","61,661","61,717","61,143","61,265","61,997","62,603","62,732","62,904","62,998","63,088","63,241","63,839","63,988","64,488","64,590","64,925","65,170","65,287","65,661","65,860","65,839","66,006","66,344","66,494","66,483","66,993","67,325","68,004","67,807","67,973","67,942","68,729","68,988","68,864","69,099","69,420","69,991","70,102","70,120","70,778","71,327","70,867","71,280","71,724","72,201","72,760","72,863","73,166","73,924","74,223","74,494","74,706","75,420","75,778","76,883","77,572","78,097","78,177","78,583","79,189","79,168","79,019","79,197","79,259","79,965","80,806","81,462","81,756","81,983","82,029","82,487","83,179","83,770","83,652","84,153","84,696","84,356","84,289","84,330","85,162","85,950","86,338","86,405","86,291","86,965","87,658","88,843","89,150","89,258","89,118","88,737","89,404","89,661","90,129","90,317","90,612","91,103","91,249","91,295","91,157","90,668","90,839","91,029","90,924","91,236","91,580","92,072","92,470","93,014","93,298","93,859","94,300","94,314","94,891","95,500","95,598","95,734","95,932","96,069","95,990","96,747","97,595","98,941","99,881","101,099","101,506","102,020","102,958","104,155","105,232","104,246","103,820","104,369","104,689","105,014","110,775","111,478","112,428","115,073","116,615","112,036","109,771","109,098","108,348","108,252","107,774","106,862","106,825"
"Food  [C111]","34,480","35,690","36,085","35,666","36,658","36,690","36,731","37,110","37,247","37,594","37,739","37,965","38,707","38,853","39,135","39,619","39,450","39,619","40,192","41,063","39,708","40,684","41,370","41,741","42,225","42,668","42,862","42,233","42,531","42,644","42,910","42,717","43,572","43,628","43,386","44,193","43,943","43,749","45,129","47,299","45,266","45,727","46,484","47,026","46,509","47,758","46,849","47,247","48,155","48,572","47,852","48,685","50,224","48,982","50,048","48,597","49,625","50,060","49,978","50,565","49,947","50,641","51,719","51,852","50,035","51,423","52,230","52,331","52,741","52,262","51,227","51,776","52,527","52,476","52,464","52,337","53,347","53,258","52,798","52,224","52,350","52,827","53,176","55,003","54,195","53,580","53,580","53,708","54,085","53,837","54,223","54,167","53,929","54,636","54,884","54,801","55,214","54,966","55,921","55,967","55,432","56,490","56,453","55,824","55,994","56,571","57,074","57,207","57,414","57,511","57,577","57,659","58,258","58,295","58,650","58,650","58,850","59,012","59,086","59,412","59,560","59,545","59,671","59,930","60,159","60,115","60,562","60,813","61,506","61,311","61,455","61,436","61,971","62,242","62,179","62,437","62,682","63,223","63,362","63,393","63,997","64,456","63,940","64,173","64,409","64,835","65,309","65,361","65,274","65,917","66,162","66,402","66,589","67,226","67,565","68,547","69,704","70,149","70,184","70,488","71,055","70,955","70,745","70,821","70,756","71,388","72,119","72,685","72,954","73,125","73,125","73,478","74,059","74,551","74,448","74,930","75,236","74,971","74,930","74,956","75,703","76,361","76,719","76,766","76,414","77,048","77,737","78,860","79,112","79,010","78,767","78,464","79,075","79,368","79,718","79,942","80,314","80,696","80,832","80,906","80,655","80,366","80,468","80,608","80,708","80,908","81,244","81,692","82,152","82,632","82,900","83,476","83,740","83,720","84,256","84,804","84,936","85,048","85,256","85,332","85,504","86,080","86,832","87,944","88,928","90,224","90,504","90,776","91,568","92,592","93,436","92,588","92,036","92,408","92,956","93,080","98,308","99,048","99,344","101,972","103,412","99,096","96,648","96,380","95,436","94,996","95,004","94,120","94,128"
"Non-alcoholic beverages  [C112]","2,960","3,083","3,094","3,077","3,150","3,178","3,172","3,194","3,211","3,245","3,256","3,289","3,334","3,356","3,379","3,440","3,407","3,423","3,474","3,585","3,446","3,541","3,596","3,652","3,697","3,714","3,725","3,675","3,697","3,719","3,742","3,697","3,775","3,797","3,786","3,853","3,837","3,825","3,954","4,121","3,943","3,991","4,047","4,104","4,060","4,174","4,104","4,113","4,196","4,222","4,165","4,239","4,383","4,283","4,379","4,261","4,344","4,392","4,379","4,418","4,366","4,414","4,510","4,536","4,361","4,501","4,571","4,579","4,619","4,579","4,475","4,523","4,597","4,588","4,579","4,575","4,662","4,654","4,614","4,571","4,575","4,633","4,677","4,862","4,792","4,760","4,786","4,824","4,920","4,920","4,984","5,003","5,226","5,322","5,341","5,315","5,583","5,520","5,558","5,500","5,329","5,451","5,517","5,538","5,507","5,639","5,731","5,731","5,711","5,711","5,731","5,787","5,802","5,889","6,011","6,092","6,204","6,275","6,311","6,357","6,402","6,397","6,433","6,504","6,442","6,469","6,531","6,604","6,604","6,599","6,620","6,609","6,834","6,829","6,776","6,761","6,829","6,865","6,844","6,834","6,891","6,975","7,011","7,168","7,352","7,403","7,485","7,531","7,879","7,991","8,042","8,073","8,098","8,175","8,196","8,318","7,909","7,986","8,027","8,124","8,165","8,237","8,293","8,390","8,510","8,585","8,694","8,783","8,808","8,863","8,908","9,012","9,122","9,221","9,206","9,226","9,460","9,385","9,360","9,375","9,460","9,589","9,619","9,639","9,873","9,914","9,919","9,983","10,038","10,248","10,353","10,275","10,330","10,293","10,412","10,375","10,298","10,407","10,417","10,389","10,503","10,302","10,371","10,421","10,216","10,328","10,336","10,380","10,316","10,380","10,396","10,380","10,560","10,596","10,636","10,696","10,660","10,684","10,672","10,736","10,468","10,656","10,752","10,992","10,940","10,852","10,984","11,236","11,384","11,560","11,800","11,660","11,800","11,988","11,736","11,952","12,476","12,428","13,140","13,128","13,224","12,980","13,200","12,764","12,984","13,360","12,840","12,816","12,768"
"Alcoholic beverages,  tobacco and cannabis  [C12]","14,616","14,821","15,197","15,265","15,539","15,948","15,641","16,290","16,461","16,665","16,742","17,050","16,956","17,220","17,664","17,733","18,211","18,937","19,278","19,688","20,140","20,311","20,857","20,823","21,267","21,848","22,292","22,770","22,497","22,292","22,488","23,308","23,803","23,487","23,999","24,657","25,118","25,895","26,433","27,542","26,953","29,217","28,711","28,924","30,548","29,589","30,282","31,507","31,746","32,199","32,545","33,291","33,610","34,010","34,595","34,456","34,442","35,281","36,040","36,220","36,120","35,820","35,554","36,146","36,506","35,933","36,925","38,017","37,524","36,965","37,191","38,297","39,149","37,757","37,464","39,162","38,343","39,734","39,029","39,415","40,673","40,130","40,145","40,175","39,499","39,948","39,808","39,387","39,668","38,894","39,212","37,913","37,906","38,293","38,345","38,203","38,413","37,987","37,878","37,565","37,236","36,905","36,912","36,672","36,300","36,597","36,219","36,186","35,654","35,874","36,132","36,136","36,262","36,001","35,371","34,695","34,523","34,189","34,066","33,850","33,420","32,602","32,269","31,933","31,729","31,596","31,230","30,995","30,921","30,885","30,269","29,924","31,578","32,401","32,915","33,086","32,713","33,398","33,842","33,670","33,117","32,692","32,435","32,707","33,177","33,567","34,139","34,235","34,888","35,013","34,963","34,737","34,935","35,138","35,530","36,183","35,652","35,724","35,896","36,105","36,310","36,297","36,142","36,215","36,628","36,167","36,418","36,445","36,292","36,101","36,256","36,479","36,230","36,157","36,325","36,111","36,032","35,998","35,969","36,339","36,300","36,521","36,425","36,418","36,309","36,787","36,684","37,007","37,014","37,217","37,373","37,299","37,396","37,452","37,499","36,919","37,833","38,265","38,724","38,897","38,640","38,592","38,720","39,097","38,952","39,644","39,644","39,632","39,879","39,628","39,541","39,218","39,466","39,810","39,719","40,044","40,097","40,085","40,304","40,144","40,375","40,627","40,190","40,380","40,385","40,452","40,394","40,678","40,918","40,535","40,859","40,429","40,564","40,613","40,664","40,836","42,311","42,590","43,170","43,172","43,706","43,277","43,403","43,543","43,305","42,943","42,645","42,715","42,140"
"Alcoholic beverages  [C121]","5,198","5,283","5,479","5,423","5,423","5,704","5,479","5,788","5,760","5,873","6,013","6,041","6,069","5,985","6,069","6,013","6,210","6,631","6,744","6,969","7,025","6,997","7,193","7,362","7,362","7,559","7,755","7,924","7,587","7,615","7,587","7,896","8,093","8,036","8,093","8,205","8,374","8,655","8,767","9,610","9,160","10,323","9,798","10,095","10,755","10,117","10,482","11,280","11,485","11,462","11,507","11,621","11,963","12,191","12,442","12,624","12,419","12,852","13,194","13,194","13,103","13,080","12,670","13,216","12,897","13,011","13,604","13,968","14,151","13,604","13,741","14,174","14,675","13,832","13,422","14,037","14,379","14,538","14,128","14,196","14,766","14,356","14,299","14,277","13,775","14,071","13,844","13,593","13,935","13,468","13,855","13,057","13,080","13,502","13,684","13,445","13,730","13,547","13,547","13,433","13,370","13,421","13,740","13,762","13,435","13,812","13,617","13,573","13,108","13,319","13,428","13,515","13,587","13,450","13,500","13,079","13,050","12,883","12,847","12,738","12,419","12,201","12,056","11,831","11,989","11,967","11,648","11,611","11,691","11,808","11,893","11,760","12,287","12,068","12,398","12,558","12,202","12,633","12,755","12,542","12,127","11,749","11,446","11,563","11,979","12,197","12,529","12,410","12,842","12,817","12,787","12,579","12,832","13,065","13,278","13,968","13,566","13,650","13,779","13,913","14,012","14,166","14,290","14,379","14,674","14,435","15,138","15,255","15,345","15,304","15,439","15,570","15,601","15,579","15,750","15,502","15,763","15,966","16,025","16,389","16,479","16,781","16,844","16,984","17,147","17,540","17,341","17,618","17,796","18,015","18,205","18,085","18,168","18,222","18,334","17,837","18,454","18,396","18,375","18,478","18,532","18,768","18,892","19,239","19,132","19,524","19,360","19,388","19,408","19,344","19,512","19,352","19,544","19,920","19,896","20,104","20,044","20,108","20,528","20,520","20,708","20,936","20,480","20,704","20,852","21,128","21,280","21,636","21,800","21,544","21,816","21,408","21,832","21,840","21,828","21,992","23,220","23,084","23,172","23,048","23,652","23,300","23,100","23,328","23,164","22,784","22,672","22,796","22,304"
"Tobacco  [C122]","17,282","17,457","17,720","17,984","18,598","18,598","18,334","18,861","19,212","19,212","18,773","19,299","18,685","19,387","20,001","20,089","20,352","20,528","20,703","20,703","21,317","21,493","21,843","20,791","21,493","21,931","21,931","22,107","21,931","20,879","20,966","21,580","21,668","20,615","21,142","21,931","22,107","22,721","23,159","22,984","22,370","24,086","23,895","23,132","24,721","23,768","24,022","24,340","23,959","24,785","25,103","26,246","25,738","25,738","26,119","25,039","25,357","25,865","26,437","26,628","26,437","25,611","25,929","25,611","27,073","25,357","25,802","27,009","25,357","25,420","25,420","26,501","26,882","25,992","26,310","28,153","25,420","27,835","27,327","27,835","28,852","28,729","28,790","28,821","28,698","28,729","28,975","28,698","28,266","27,865","27,463","26,846","26,692","26,353","25,982","26,260","25,951","25,581","25,365","25,056","24,610","23,933","23,300","22,859","22,873","22,667","22,432","22,491","22,535","22,520","22,770","22,638","22,741","22,594","21,578","21,269","21,078","20,886","20,783","20,651","20,548","19,753","19,517","19,370","18,899","18,751","18,688","18,420","18,188","17,949","16,992","16,690","18,111","19,715","19,821","19,701","19,736","19,912","20,299","20,348","20,179","20,137","20,215","20,306","20,125","20,211","20,382","20,648","20,752","20,876","20,743","20,657","20,372","20,135","20,220","19,850","19,659","19,507","19,441","19,422","19,469","19,108","18,614","18,500","18,545","18,218","17,583","17,431","17,105","16,889","16,877","16,947","16,597","16,504","16,469","16,475","16,055","15,757","15,629","15,600","15,431","15,303","15,093","14,889","14,551","14,612","14,695","14,705","14,481","14,421","14,342","14,356","14,328","14,291","14,179","14,068","14,323","14,784","15,235","15,258","14,886","14,547","14,500","14,481","14,428","14,648","14,728","14,596","14,804","14,556","14,248","14,032","14,036","13,956","13,840","13,896","13,940","13,832","13,632","13,484","13,536","13,572","13,592","13,592","13,500","13,356","13,204","13,164","13,168","12,996","12,912","12,704","12,524","12,508","12,532","12,512","12,548","12,700","12,600","12,296","12,208","11,944","11,760","11,684","11,692","11,444","11,212","11,160","11,124"
"Cannabis  [C123]","372","380","388","396","404","420","437","453","469","485","501","517","542","566","590","614","647","679","711","744","776","808","849","889","930","970","1,019","1,067","1,116","1,164","1,213","1,261","1,318","1,366","1,423","1,471","1,520","1,568","1,625","1,673","1,722","1,769","1,815","1,862","1,909","1,955","1,995","2,035","2,075","2,109","2,149","2,182","2,215","2,249","2,282","2,309","2,335","2,362","2,389","2,415","2,442","2,469","2,495","2,515","2,542","2,562","2,582","2,609","2,629","2,649","2,669","2,690","2,710","2,730","2,750","2,770","2,790","2,804","2,824","2,844","2,857","2,873","2,895","2,912","2,928","2,945","2,961","2,978","2,994","3,005","3,016","3,027","3,044","3,055","3,061","3,066","3,072","3,072","3,077","3,077","3,078","3,078","3,078","3,074","3,074","3,067","3,060","3,053","3,045","3,038","3,031","3,024","3,016","3,009","2,998","2,991","2,984","2,973","2,966","2,962","2,955","2,951","2,948","2,951","2,952","2,955","2,962","2,969","2,982","2,996","3,013","3,030","3,054","3,075","3,099","3,126","3,150","3,177","3,208","3,242","3,277","3,314","3,352","3,393","3,436","3,477","3,514","3,555","3,593","3,637","3,679","3,726","3,771","3,815","3,863","3,908","3,949","3,993","4,031","4,069","4,103","4,137","4,171","4,206","4,239","4,271","4,299","4,325","4,350","4,376","4,398","4,421","4,443","4,465","4,487","4,507","4,529","4,548","4,567","4,590","4,605","4,628","4,650","4,676","4,700","4,718","4,740","4,765","4,790","4,819","4,848","4,881","4,914","4,946","4,979","5,015","5,051","5,095","5,138","5,182","5,229","5,276","5,327","5,377","5,392","5,472","5,556","5,648","5,668","5,728","5,784","5,840","5,896","5,956","6,016","6,084","6,156","6,204","6,232","6,244","6,232","6,220","6,200","6,164","6,120","6,072","6,032","6,012","6,120","6,216","6,456","6,758","6,690","6,781","6,829","6,892","7,316","7,652","8,650","9,495","9,638","10,076","11,090","11,153","10,969","11,614","11,862","11,913","11,782"
"Clothing and footwear  [C13]","7,931","7,717","7,881","8,108","8,312","8,479","8,429","8,545","8,532","8,721","8,724","8,769","8,979","8,627","9,036","9,200","9,011","9,156","9,672","9,801","9,861","10,238","9,757","9,470","9,858","10,053","9,823","10,635","10,279","10,446","10,342","10,503","10,770","10,846","11,201","11,006","11,321","10,890","11,201","11,494","11,425","11,694","11,930","12,363","12,316","13,025","13,135","13,117","13,431","13,314","13,403","13,737","13,998","14,334","14,506","14,356","14,792","15,078","15,695","15,670","15,981","16,529","16,511","16,957","17,009","16,703","17,208","17,445","17,417","17,713","18,127","18,211","18,604","18,617","18,686","18,612","18,331","18,525","18,808","19,007","19,331","19,115","19,181","19,259","18,291","18,347","18,319","18,309","18,766","18,693","18,833","19,144","19,505","20,060","19,921","20,182","20,468","20,749","21,063","21,465","21,505","22,113","22,386","22,349","22,345","22,445","22,422","22,714","22,110","22,175","22,395","22,631","22,033","22,660","22,495","22,440","22,751","22,207","21,954","21,636","20,116","20,526","20,117","20,134","19,918","19,878","20,174","20,302","20,337","20,571","20,649","20,557","20,635","20,840","21,342","21,633","22,006","22,150","22,115","21,694","21,826","22,062","22,148","22,309","22,501","22,251","22,718","22,665","23,144","23,136","23,290","23,171","23,544","23,760","24,019","24,048","24,635","24,840","25,396","25,405","25,599","26,202","25,728","26,415","26,912","26,991","26,663","27,204","27,741","28,066","28,134","27,903","28,602","28,693","29,131","28,897","29,742","30,045","29,862","30,404","31,495","32,069","32,528","32,680","33,421","33,564","34,194","34,362","34,658","35,263","35,282","35,393","34,921","35,139","35,287","35,275","37,633","37,096","38,505","38,670","38,822","39,118","39,682","40,172","40,556","40,212","40,855","40,904","41,579","41,364","42,380","43,310","42,344","43,221","43,967","44,331","44,337","45,291","45,562","46,373","46,837","46,138","45,834","46,100","46,848","48,460","48,667","48,994","49,612","49,560","50,223","49,722","49,972","50,529","50,647","50,300","42,260","30,177","46,649","44,581","43,099","41,895","54,236","54,500","52,679","57,756","57,227","57,269","59,496"
"Clothing  [C131]","6,432","6,242","6,384","6,649","6,784","6,908","6,871","6,971","6,983","7,103","7,130","7,161","7,362","7,049","7,416","7,546","7,429","7,501","7,971","8,085","8,133","8,528","8,088","7,799","8,160","8,323","8,079","8,892","8,540","8,699","8,585","8,753","8,985","9,049","9,407","9,178","9,506","9,106","9,374","9,606","9,639","9,832","10,021","10,367","10,399","10,999","11,137","11,108","11,342","11,321","11,345","11,672","11,846","12,151","12,269","12,185","12,526","12,777","13,320","13,305","13,557","13,987","13,990","14,416","14,416","14,266","14,670","14,847","14,830","15,086","15,442","15,514","15,802","15,819","15,880","15,846","15,633","15,769","16,044","16,233","16,434","16,296","16,357","16,412","15,656","15,705","15,678","15,712","16,104","16,021","16,132","16,403","16,695","17,163","17,047","17,252","17,571","17,769","18,016","18,302","18,387","18,855","19,142","19,143","19,074","19,196","19,165","19,411","18,893","18,943","19,089","19,303","18,863","19,399","19,218","19,164","19,421","18,998","18,758","18,490","17,227","17,503","17,123","17,171","16,996","16,907","17,111","17,307","17,274","17,484","17,512","17,543","17,477","17,686","18,121","18,500","18,825","18,865","18,848","18,546","18,754","18,898","18,900","19,092","19,351","19,063","19,399","19,344","19,729","19,712","19,922","19,854","20,124","20,289","20,516","20,655","21,061","21,277","21,697","21,758","21,931","22,365","21,907","22,550","22,937","23,025","22,751","23,176","23,669","24,000","24,050","23,769","24,373","24,473","24,887","24,680","25,428","25,614","25,462","25,910","26,809","27,353","27,668","27,814","28,441","28,607","29,123","29,213","29,590","30,068","30,015","30,100","29,672","29,921","30,017","29,930","32,078","31,600","32,925","32,976","33,032","33,320","33,798","34,326","34,528","34,176","34,756","34,708","35,282","35,100","35,987","36,718","35,964","36,557","37,124","37,292","37,435","38,196","38,387","38,987","39,327","38,884","38,461","38,568","39,239","40,596","40,891","41,166","41,672","41,584","42,223","41,806","42,052","42,626","42,700","42,369","35,577","25,085","38,967","37,243","36,186","35,444","45,727","46,044","44,600","49,055","48,594","48,399","50,713"
